ERROR: Component M287 is not in a mock fail state
ERROR: Component P180 is not currently installed
[OBSERVER] Component M736 changed from INSTALLED to PENDING
[OBSERVER] Component M719 changed from INSTALLED to PENDING
[OBSERVER] Component M715 changed from INSTALLED to PENDING
[OBSERVER] Component M646 changed from INSTALLED to PENDING
[OBSERVER] Component M636 changed from INSTALLED to PENDING
[OBSERVER] Component M606 changed from INSTALLED to PENDING
[OBSERVER] Component M596 changed from INSTALLED to PENDING
[OBSERVER] Component M574 changed from INSTALLED to PENDING
[OBSERVER] Component M568 changed from INSTALLED to PENDING
[OBSERVER] Component M551 changed from INSTALLED to PENDING
[OBSERVER] Component M527 changed from INSTALLED to PENDING
[OBSERVER] Component M514 changed from INSTALLED to PENDING
[OBSERVER] Component M477 changed from INSTALLED to PENDING
[OBSERVER] Component M468 changed from INSTALLED to PENDING
[OBSERVER] Component M463 changed from INSTALLED to PENDING
[OBSERVER] Component M462 changed from INSTALLED to PENDING
[OBSERVER] Component M400 changed from INSTALLED to PENDING
[OBSERVER] Component M394 changed from INSTALLED to PENDING
[OBSERVER] Component M362 changed from INSTALLED to PENDING
[OBSERVER] Component M336 changed from INSTALLED to PENDING
[OBSERVER] Component M330 changed from INSTALLED to PENDING
[OBSERVER] Component M270 changed from INSTALLED to PENDING
[OBSERVER] Component M268 changed from INSTALLED to PENDING
[OBSERVER] Component M249 changed from INSTALLED to PENDING
[OBSERVER] Component M241 changed from INSTALLED to PENDING
[OBSERVER] Component M161 changed from INSTALLED to PENDING
[OBSERVER] Component M144 changed from INSTALLED to PENDING
[OBSERVER] Component M126 changed from INSTALLED to PENDING
[OBSERVER] Component M112 changed from INSTALLED to PENDING
[OBSERVER] Component M49 changed from INSTALLED to PENDING
[OBSERVER] Component M47 changed from INSTALLED to PENDING
[OBSERVER] Component M31 changed from INSTALLED to PENDING
[OBSERVER] Component M28 changed from INSTALLED to PENDING
[OBSERVER] Component M26 changed from INSTALLED to PENDING
[OBSERVER] Component M21 changed from INSTALLED to PENDING
[OBSERVER] Component M18 changed from INSTALLED to PENDING
[OBSERVER] Component M647 changed from PENDING to INSTALLED
[OBSERVER] Component P308 changed from PENDING to INSTALLED
[OBSERVER] Component M287 changed from PENDING to INSTALLED
[OBSERVER] Component M374 changed from PENDING to INSTALLED
[OBSERVER] Component M252 changed from PENDING to INSTALLED
[OBSERVER] Component M880 changed from PENDING to INSTALLED
[OBSERVER] Component P85 changed from PENDING to INSTALLED
[OBSERVER] Component M648 changed from PENDING to INSTALLED
[OBSERVER] Component M870 changed from PENDING to INSTALLED
[OBSERVER] Component M787 changed from PENDING to INSTALLED
[OBSERVER] Component M109 changed from PENDING to INSTALLED
[OBSERVER] Component M826 changed from PENDING to INSTALLED
[OBSERVER] Component P155 changed from PENDING to INSTALLED
[OBSERVER] Component M849 changed from PENDING to INSTALLED
[OBSERVER] Component P590 changed from PENDING to INSTALLED
[OBSERVER] Component M449 changed from PENDING to INSTALLED
[OBSERVER] Component M21 changed from PENDING to INSTALLED
[OBSERVER] Component P510 changed from PENDING to INSTALLED
[OBSERVER] Component P495 changed from PENDING to INSTALLED
[OBSERVER] Component M623 changed from PENDING to INSTALLED
ERROR: Component M172 is not currently installed
[OBSERVER] Component M18 changed from PENDING to INSTALLED
[OBSERVER] Component M568 changed from PENDING to INSTALLED
[OBSERVER] Component M770 changed from PENDING to INSTALLED
[OBSERVER] Component M646 changed from PENDING to INSTALLED
[OBSERVER] Component M362 changed from PENDING to INSTALLED
[OBSERVER] Component P493 changed from PENDING to INSTALLED
[OBSERVER] Component P181 changed from PENDING to INSTALLED
ERROR: Component GHOST_P does not exist
ERROR: Component M736 is not currently installed
ERROR: Component P457 is not in a mock fail state
ERROR: Component GHOST_P does not exist
[OBSERVER] Component M830 changed from PENDING to INSTALLED
[OBSERVER] Component M335 changed from PENDING to INSTALLED
ERROR: Component M577 is not currently installed
[OBSERVER] Component M506 changed from PENDING to INSTALLED
ERROR: Component P151 is not currently installed
[OBSERVER] Component M161 changed from PENDING to INSTALLED
[OBSERVER] Component M908 changed from PENDING to INSTALLED
[OBSERVER] Component P166 changed from PENDING to INSTALLED
[OBSERVER] Component P590 changed from INSTALLED to PENDING
[OBSERVER] Component P510 changed from INSTALLED to PENDING
[OBSERVER] Component P495 changed from INSTALLED to PENDING
[OBSERVER] Component P493 changed from INSTALLED to PENDING
[OBSERVER] Component P308 changed from INSTALLED to PENDING
[OBSERVER] Component P181 changed from INSTALLED to PENDING
[OBSERVER] Component P166 changed from INSTALLED to PENDING
[OBSERVER] Component P155 changed from INSTALLED to PENDING
[OBSERVER] Component P85 changed from INSTALLED to PENDING
[OBSERVER] Component M908 changed from INSTALLED to PENDING
[OBSERVER] Component M880 changed from INSTALLED to PENDING
[OBSERVER] Component M870 changed from INSTALLED to PENDING
[OBSERVER] Component M849 changed from INSTALLED to PENDING
[OBSERVER] Component M830 changed from INSTALLED to PENDING
[OBSERVER] Component M826 changed from INSTALLED to PENDING
[OBSERVER] Component M787 changed from INSTALLED to PENDING
[OBSERVER] Component M770 changed from INSTALLED to PENDING
[OBSERVER] Component M648 changed from INSTALLED to PENDING
[OBSERVER] Component M647 changed from INSTALLED to PENDING
[OBSERVER] Component M646 changed from INSTALLED to PENDING
[OBSERVER] Component M623 changed from INSTALLED to PENDING
[OBSERVER] Component M568 changed from INSTALLED to PENDING
[OBSERVER] Component M506 changed from INSTALLED to PENDING
[OBSERVER] Component M449 changed from INSTALLED to PENDING
[OBSERVER] Component M374 changed from INSTALLED to PENDING
[OBSERVER] Component M362 changed from INSTALLED to PENDING
[OBSERVER] Component M335 changed from INSTALLED to PENDING
[OBSERVER] Component M287 changed from INSTALLED to PENDING
[OBSERVER] Component M252 changed from INSTALLED to PENDING
[OBSERVER] Component M161 changed from INSTALLED to PENDING
[OBSERVER] Component M109 changed from INSTALLED to PENDING
[OBSERVER] Component M21 changed from INSTALLED to PENDING
[OBSERVER] Component M18 changed from INSTALLED to PENDING
ERROR: Component M399 is not currently installed
ERROR: Component P453 is not in a mock fail state
ERROR: Invalid command
ERROR: Component GHOST_P does not exist
ERROR: Component with ID M756 already exists
[OBSERVER] Component M358 changed from PENDING to INSTALLED
[OBSERVER] Component M13 changed from PENDING to INSTALLED
[OBSERVER] Component P382 changed from PENDING to INSTALLED
ERROR: Component GHOST_P does not exist
ERROR: Component P113 is not currently installed
[OBSERVER] Component M116 changed from PENDING to INSTALLED
[OBSERVER] Component M875 changed from PENDING to INSTALLED
ERROR: Cannot attach to a module
[OBSERVER] Component M288 changed from PENDING to INSTALLED
[OBSERVER] Component M9 changed from PENDING to INSTALLED
[OBSERVER] Component M668 changed from PENDING to INSTALLED
[OBSERVER] Component P293 changed from PENDING to INSTALLED
[OBSERVER] Component M595 changed from PENDING to INSTALLED
[OBSERVER] Component M470 changed from PENDING to INSTALLED
[OBSERVER] Component M534 changed from PENDING to INSTALLED
[OBSERVER] Component M798 changed from PENDING to INSTALLED
[OBSERVER] Component P258 changed from PENDING to INSTALLED
[OBSERVER] Component M397 changed from PENDING to INSTALLED
[OBSERVER] Component M178 changed from PENDING to INSTALLED
[OBSERVER] Component M385 changed from PENDING to INSTALLED
[OBSERVER] Component M830 changed from PENDING to INSTALLED
[OBSERVER] Component M408 changed from PENDING to INSTALLED
[OBSERVER] Component M374 changed from PENDING to INSTALLED
[OBSERVER] Component P486 changed from PENDING to INSTALLED
[OBSERVER] Component P466 changed from PENDING to INSTALLED
[OBSERVER] Component P39 changed from PENDING to INSTALLED
[OBSERVER] Component M443 changed from PENDING to INSTALLED
[OBSERVER] Component M900 changed from PENDING to INSTALLED
[OBSERVER] Component P37 changed from PENDING to INSTALLED
ERROR: Component M380 is not in a mock fail state
[OBSERVER] Component M908 changed from PENDING to INSTALLED
[OBSERVER] Component M647 changed from PENDING to INSTALLED
[OBSERVER] Component M152 changed from PENDING to INSTALLED
[OBSERVER] Component M884 changed from PENDING to INSTALLED
[OBSERVER] Component M206 changed from PENDING to INSTALLED
[OBSERVER] Component P380 changed from PENDING to INSTALLED
ERROR: Component P260 is not in a mock fail state
[OBSERVER] Component P620 changed from PENDING to INSTALLED
[OBSERVER] Component M488 changed from PENDING to INSTALLED
ERROR: Component P7 is not in a mock fail state
[OBSERVER] Component M744 changed from PENDING to INSTALLED
ERROR: Component M636 is not currently installed
ERROR: Component M496 is not currently installed
[OBSERVER] Component M20 changed from PENDING to INSTALLED
[OBSERVER] Component M182 changed from PENDING to INSTALLED
[OBSERVER] Component P518 changed from PENDING to INSTALLED
[OBSERVER] Component M641 changed from PENDING to INSTALLED
[OBSERVER] Component M915 changed from PENDING to INSTALLED
[OBSERVER] Component P302 changed from PENDING to INSTALLED
ERROR: Component M328 is not currently installed
ERROR: Component P295 is not in a mock fail state
[OBSERVER] Component M540 changed from PENDING to INSTALLED
[OBSERVER] Component M99 changed from PENDING to INSTALLED
ERROR: Component GHOST_P does not exist
[OBSERVER] Component M415 changed from PENDING to INSTALLED
[OBSERVER] Component M739 changed from PENDING to INSTALLED
[OBSERVER] Component M866 changed from PENDING to INSTALLED
[OBSERVER] Component M330 changed from PENDING to INSTALLED
[OBSERVER] Component M112 changed from PENDING to INSTALLED
[OBSERVER] Component M336 changed from PENDING to INSTALLED
[OBSERVER] Component P353 changed from PENDING to INSTALLED
[OBSERVER] Component M235 changed from PENDING to INSTALLED
[OBSERVER] Component M843 changed from PENDING to INSTALLED
[OBSERVER] Component P305 changed from PENDING to INSTALLED
[OBSERVER] Component M304 changed from PENDING to INSTALLED
ERROR: Component GHOST_P does not exist
ERROR: Component M902 is not in a mock fail state
ERROR: Cannot attach to a module
[OBSERVER] Component M836 changed from PENDING to INSTALLED
ERROR: Component M60 is not currently installed
[OBSERVER] Component M716 changed from PENDING to INSTALLED
ERROR: Component M397 is not in a mock fail state
ERROR: Component P548 is not in a mock fail state
[OBSERVER] Component P620 changed from INSTALLED to PENDING
[OBSERVER] Component P518 changed from INSTALLED to PENDING
[OBSERVER] Component P486 changed from INSTALLED to PENDING
[OBSERVER] Component P466 changed from INSTALLED to PENDING
[OBSERVER] Component P382 changed from INSTALLED to PENDING
[OBSERVER] Component P380 changed from INSTALLED to PENDING
[OBSERVER] Component P353 changed from INSTALLED to PENDING
[OBSERVER] Component P305 changed from INSTALLED to PENDING
[OBSERVER] Component P302 changed from INSTALLED to PENDING
[OBSERVER] Component P293 changed from INSTALLED to PENDING
[OBSERVER] Component P258 changed from INSTALLED to PENDING
[OBSERVER] Component P39 changed from INSTALLED to PENDING
[OBSERVER] Component P37 changed from INSTALLED to PENDING
[OBSERVER] Component M915 changed from INSTALLED to PENDING
[OBSERVER] Component M908 changed from INSTALLED to PENDING
[OBSERVER] Component M900 changed from INSTALLED to PENDING
[OBSERVER] Component M884 changed from INSTALLED to PENDING
[OBSERVER] Component M875 changed from INSTALLED to PENDING
[OBSERVER] Component M866 changed from INSTALLED to PENDING
[OBSERVER] Component M843 changed from INSTALLED to PENDING
[OBSERVER] Component M836 changed from INSTALLED to PENDING
[OBSERVER] Component M830 changed from INSTALLED to PENDING
[OBSERVER] Component M798 changed from INSTALLED to PENDING
[OBSERVER] Component M744 changed from INSTALLED to PENDING
[OBSERVER] Component M739 changed from INSTALLED to PENDING
[OBSERVER] Component M716 changed from INSTALLED to PENDING
[OBSERVER] Component M668 changed from INSTALLED to PENDING
[OBSERVER] Component M647 changed from INSTALLED to PENDING
[OBSERVER] Component M641 changed from INSTALLED to PENDING
[OBSERVER] Component M595 changed from INSTALLED to PENDING
[OBSERVER] Component M540 changed from INSTALLED to PENDING
[OBSERVER] Component M534 changed from INSTALLED to PENDING
[OBSERVER] Component M488 changed from INSTALLED to PENDING
[OBSERVER] Component M470 changed from INSTALLED to PENDING
[OBSERVER] Component M443 changed from INSTALLED to PENDING
[OBSERVER] Component M415 changed from INSTALLED to PENDING
[OBSERVER] Component M408 changed from INSTALLED to PENDING
[OBSERVER] Component M397 changed from INSTALLED to PENDING
[OBSERVER] Component M385 changed from INSTALLED to PENDING
[OBSERVER] Component M374 changed from INSTALLED to PENDING
[OBSERVER] Component M358 changed from INSTALLED to PENDING
[OBSERVER] Component M336 changed from INSTALLED to PENDING
[OBSERVER] Component M330 changed from INSTALLED to PENDING
[OBSERVER] Component M304 changed from INSTALLED to PENDING
[OBSERVER] Component M288 changed from INSTALLED to PENDING
[OBSERVER] Component M235 changed from INSTALLED to PENDING
[OBSERVER] Component M206 changed from INSTALLED to PENDING
[OBSERVER] Component M182 changed from INSTALLED to PENDING
[OBSERVER] Component M178 changed from INSTALLED to PENDING
[OBSERVER] Component M152 changed from INSTALLED to PENDING
[OBSERVER] Component M116 changed from INSTALLED to PENDING
[OBSERVER] Component M112 changed from INSTALLED to PENDING
[OBSERVER] Component M99 changed from INSTALLED to PENDING
[OBSERVER] Component M20 changed from INSTALLED to PENDING
[OBSERVER] Component M13 changed from INSTALLED to PENDING
[OBSERVER] Component M9 changed from INSTALLED to PENDING
[OBSERVER] Component M481 changed from PENDING to INSTALLED
[OBSERVER] Component M341 changed from PENDING to INSTALLED
ERROR: Component GHOST_P does not exist
[OBSERVER] Component M487 changed from PENDING to INSTALLED
[OBSERVER] Component M365 changed from PENDING to INSTALLED
[OBSERVER] Component M200 changed from PENDING to INSTALLED
[OBSERVER] Component M925 changed from PENDING to INSTALLED
[OBSERVER] Component M537 changed from PENDING to INSTALLED
[OBSERVER] Component P399 changed from PENDING to INSTALLED
[OBSERVER] Component M402 changed from PENDING to INSTALLED
[OBSERVER] Component M616 changed from PENDING to INSTALLED
[OBSERVER] Component M780 changed from PENDING to INSTALLED
[OBSERVER] Component P36 changed from PENDING to INSTALLED
[OBSERVER] Component M628 changed from PENDING to INSTALLED
[OBSERVER] Component M269 changed from PENDING to INSTALLED
[OBSERVER] Component M429 changed from PENDING to INSTALLED
[OBSERVER] Component M39 changed from PENDING to INSTALLED
[OBSERVER] Component M907 changed from PENDING to INSTALLED
[OBSERVER] Component M766 changed from PENDING to INSTALLED
[OBSERVER] Component P408 changed from PENDING to INSTALLED
ERROR: Component M922 is not currently installed
ERROR: Component M835 is not in a mock fail state
ERROR: Component M625 is not currently installed
ERROR: Component P412 is not currently installed
[OBSERVER] Component M42 changed from PENDING to INSTALLED
ERROR: Cannot attach to a module
[OBSERVER] Component M650 changed from PENDING to INSTALLED
ERROR: Cannot attach to a module
ERROR: Component M380 is not currently installed
[OBSERVER] Component M634 changed from PENDING to INSTALLED
[OBSERVER] Component M872 changed from PENDING to INSTALLED
[OBSERVER] Component P574 changed from PENDING to INSTALLED
[OBSERVER] Component P273 changed from PENDING to INSTALLED
[OBSERVER] Component M129 changed from PENDING to INSTALLED
[OBSERVER] Component P318 changed from PENDING to INSTALLED
[OBSERVER] Component P549 changed from PENDING to INSTALLED
[OBSERVER] Component P600 changed from PENDING to INSTALLED
[OBSERVER] Component M311 changed from PENDING to INSTALLED
[OBSERVER] Component M416 changed from PENDING to INSTALLED
[OBSERVER] Component P536 changed from PENDING to INSTALLED
[OBSERVER] Component M126 changed from PENDING to INSTALLED
[OBSERVER] Component P369 changed from PENDING to INSTALLED
[OBSERVER] Component M36 changed from PENDING to INSTALLED
[OBSERVER] Component M793 changed from PENDING to INSTALLED
[OBSERVER] Component P316 changed from PENDING to INSTALLED
[OBSERVER] Component P292 changed from PENDING to INSTALLED
[OBSERVER] Component P97 changed from PENDING to INSTALLED
[OBSERVER] Component M900 changed from PENDING to INSTALLED
ERROR: Component M187 is not in a mock fail state
ERROR: Cannot attach to a module
ERROR: Component P489 is not currently installed
ERROR: Component M397 is not in a mock fail state
[OBSERVER] Component M201 changed from PENDING to INSTALLED
[OBSERVER] Component M51 changed from PENDING to INSTALLED
[OBSERVER] Component M128 changed from PENDING to INSTALLED
[OBSERVER] Component M316 changed from PENDING to INSTALLED
[OBSERVER] Component M600 changed from PENDING to INSTALLED
[OBSERVER] Component P185 changed from PENDING to INSTALLED
ERROR: Component P169 is not currently installed
ERROR: Component P604 is not in a mock fail state
[OBSERVER] Component P557 changed from PENDING to INSTALLED
[OBSERVER] Component M212 changed from PENDING to INSTALLED
ERROR: Component GHOST_P does not exist
ERROR: Component M815 is not in a mock fail state
ERROR: Component M533 is not currently installed
ERROR: Component P373 is not currently installed
ERROR: Component GHOST_P does not exist
ERROR: Component M573 is not currently installed
ERROR: Component with ID M569 already exists
[OBSERVER] Component P592 changed from PENDING to INSTALLED
[OBSERVER] Component M909 changed from PENDING to INSTALLED
[OBSERVER] Component M809 changed from PENDING to INSTALLED
[OBSERVER] Component M734 changed from PENDING to INSTALLED
[OBSERVER] Component P161 changed from PENDING to INSTALLED
ERROR: Cannot attach to a module
ERROR: Component M133 is not in a mock fail state
[OBSERVER] Component M355 changed from PENDING to INSTALLED
[OBSERVER] Component M86 changed from PENDING to INSTALLED
[OBSERVER] Component P594 changed from PENDING to INSTALLED
[OBSERVER] Component M384 changed from PENDING to INSTALLED
[OBSERVER] Component P579 changed from PENDING to INSTALLED
[OBSERVER] Component M290 changed from PENDING to INSTALLED
[OBSERVER] Component P459 changed from PENDING to INSTALLED
[OBSERVER] Component P407 changed from PENDING to INSTALLED
ERROR: Cannot attach to a module
ERROR: Component GHOST_P does not exist
ERROR: Cannot attach to a module
ERROR: Component M692 is not in a mock fail state
ERROR: Component M750 is not currently installed
ERROR: Component M766 is required by another package
[OBSERVER] Component M924 changed from PENDING to INSTALLED
ERROR: Invalid command
[OBSERVER] Component M218 changed from PENDING to INSTALLED
[OBSERVER] Component M380 changed from PENDING to INSTALLED
[OBSERVER] Component P129 changed from PENDING to INSTALLED
ERROR: Cannot attach to a module
[OBSERVER] Component M71 changed from PENDING to INSTALLED
[OBSERVER] Component M771 changed from PENDING to INSTALLED
[OBSERVER] Component M320 changed from PENDING to INSTALLED
[OBSERVER] Component P311 changed from PENDING to INSTALLED
ERROR: Component P588 is not currently installed
ERROR: Component M510 is not currently installed
[OBSERVER] Component M785 changed from PENDING to INSTALLED
[OBSERVER] Component M678 changed from PENDING to INSTALLED
[OBSERVER] Component M818 changed from PENDING to INSTALLED
[OBSERVER] Component P263 changed from PENDING to INSTALLED
ERROR: Cannot attach to a module
ERROR: Component P309 is not currently installed
ERROR: Component M333 is not currently installed
[OBSERVER] Component P554 changed from PENDING to INSTALLED
[OBSERVER] Component P19 changed from PENDING to INSTALLED
ERROR: Component P11 is not currently installed
ERROR: Component M15 is not in a mock fail state
ERROR: Component P552 is not in a mock fail state
[OBSERVER] Component M867 changed from PENDING to INSTALLED
ERROR: Component P402 is not in a mock fail state
ERROR: Component M852 is not currently installed
[OBSERVER] Component M813 changed from PENDING to INSTALLED
[OBSERVER] Component M720 changed from PENDING to INSTALLED
[OBSERVER] Component M534 changed from PENDING to INSTALLED
[OBSERVER] Component M874 changed from PENDING to INSTALLED
[OBSERVER] Component M933 changed from PENDING to INSTALLED
[OBSERVER] Component M370 changed from PENDING to INSTALLED
[OBSERVER] Component P529 changed from PENDING to INSTALLED
[OBSERVER] Component M90 changed from PENDING to INSTALLED
[OBSERVER] Component P472 changed from PENDING to INSTALLED
[OBSERVER] Component M768 changed from PENDING to INSTALLED
[OBSERVER] Component M571 changed from PENDING to INSTALLED
[OBSERVER] Component P397 changed from PENDING to INSTALLED
ERROR: Component M906 is not in a mock fail state
ERROR: Component M610 is not in a mock fail state
ERROR: Component P182 is not in a mock fail state
ERROR: Component M882 is not in a mock fail state
ERROR: Component M551 is not currently installed
[OBSERVER] Component M670 changed from PENDING to INSTALLED
[OBSERVER] Component M95 changed from PENDING to INSTALLED
[OBSERVER] Component M215 changed from PENDING to INSTALLED
[OBSERVER] Component M792 changed from PENDING to INSTALLED
[OBSERVER] Component M688 changed from PENDING to INSTALLED
[OBSERVER] Component P509 changed from PENDING to INSTALLED
[OBSERVER] Component M287 changed from PENDING to INSTALLED
[OBSERVER] Component P404 changed from PENDING to INSTALLED
[OBSERVER] Component M590 changed from PENDING to INSTALLED
[OBSERVER] Component P559 changed from PENDING to INSTALLED
[OBSERVER] Component M593 changed from PENDING to INSTALLED
[OBSERVER] Component M832 changed from PENDING to INSTALLED
[OBSERVER] Component M731 changed from PENDING to INSTALLED
[OBSERVER] Component M805 changed from PENDING to INSTALLED
[OBSERVER] Component P441 changed from PENDING to INSTALLED
[OBSERVER] Component M209 changed from PENDING to INSTALLED
[OBSERVER] Component P96 changed from PENDING to INSTALLED
[OBSERVER] Component M617 changed from PENDING to INSTALLED
[OBSERVER] Component M28 changed from PENDING to INSTALLED
[OBSERVER] Component P28 changed from PENDING to INSTALLED
[OBSERVER] Component P1 changed from PENDING to INSTALLED
[OBSERVER] Component M767 changed from PENDING to INSTALLED
ERROR: Component M343 is not in a mock fail state
ERROR: Component with ID M596 already exists
[OBSERVER] Component M385 changed from PENDING to INSTALLED
[OBSERVER] Component M649 changed from PENDING to INSTALLED
ERROR: Component P288 is not currently installed
ERROR: Component P529 is required by another package
[OBSERVER] Component M442 changed from PENDING to INSTALLED
ERROR: Component P544 is not currently installed
ERROR: Component P544 is not currently installed
ERROR: Component M639 is not currently installed
[OBSERVER] Component M246 changed from PENDING to INSTALLED
ERROR: Component P370 is not in a mock fail state
ERROR: Component M810 is not in a mock fail state
ERROR: Component GHOST_P does not exist
[OBSERVER] Component M427 changed from PENDING to INSTALLED
ERROR: Component M222 is not currently installed
[OBSERVER] Component M1 changed from PENDING to INSTALLED
[OBSERVER] Component M120 changed from PENDING to INSTALLED
[OBSERVER] Component M313 changed from PENDING to INSTALLED
[OBSERVER] Component P440 changed from PENDING to INSTALLED
ERROR: Component P82 is not in a mock fail state
[OBSERVER] Component M98 changed from PENDING to INSTALLED
ERROR: Invalid command
[OBSERVER] Component P600 changed from INSTALLED to PENDING
[OBSERVER] Component P594 changed from INSTALLED to PENDING
[OBSERVER] Component P592 changed from INSTALLED to PENDING
[OBSERVER] Component P579 changed from INSTALLED to PENDING
[OBSERVER] Component P574 changed from INSTALLED to PENDING
[OBSERVER] Component P559 changed from INSTALLED to PENDING
[OBSERVER] Component P557 changed from INSTALLED to PENDING
[OBSERVER] Component P554 changed from INSTALLED to PENDING
[OBSERVER] Component P549 changed from INSTALLED to PENDING
[OBSERVER] Component P536 changed from INSTALLED to PENDING
[OBSERVER] Component P529 changed from INSTALLED to PENDING
[OBSERVER] Component P509 changed from INSTALLED to PENDING
[OBSERVER] Component P472 changed from INSTALLED to PENDING
[OBSERVER] Component P459 changed from INSTALLED to PENDING
[OBSERVER] Component P441 changed from INSTALLED to PENDING
[OBSERVER] Component P440 changed from INSTALLED to PENDING
[OBSERVER] Component P408 changed from INSTALLED to PENDING
